,ID,1_num,1_score,1_mark,2_num,2_score,2_mark,3_num,3_score,3_mark,imp,group1,group2,group3,group4,imp_check
324,sm27793790,243.0,0.8768353124930541,1.0,279.0,0.8821991294816022,1.0,384.0,0.9207022904348342,1.0,0,6,0,1,3,1
325,sm2193920,349.0,1.0126556743636437,0.0,294.0,1.0175590251149047,0.0,77.0,1.0195150805785569,0.0,0,0,0,0,0,0
326,sm14703600,461.0,0.827173407239201,1.0,265.0,0.8573341557377904,1.0,103.0,0.8813343080838447,1.0,1,0,6,1,3,1
327,sm27485100,398.0,0.7167600262623227,1.0,238.0,0.8075683162569605,0.0,379.0,0.8190732214979541,1.0,2,0,2,7,1,1
328,sm24644910,372.0,0.6845734878647152,1.0,333.0,0.7165023580382295,1.0,227.0,0.7608659508361545,1.0,0,0,0,0,0,0
329,sm2427600,247.0,0.9774498298115256,1.0,194.0,1.0098006378689033,1.0,370.0,1.0354886769371288,0.0,1,1,7,2,0,1
330,sm19335770,123.0,0.7789512442040663,0.0,134.0,0.8527197375956262,1.0,274.0,0.8593917145266854,1.0,2,0,2,8,0,1
331,sm27084410,300.0,0.7958787382299325,1.0,161.0,0.9238419422235236,0.0,484.0,0.9256862326420148,1.0,2,2,3,5,0,1
332,sm2027200,33.0,0.9422627357952394,1.0,48.0,0.9672624680411884,1.0,23.0,0.9700525539545436,1.0,2,3,0,6,1,1
333,sm12294250,328.0,0.7165023580382295,1.0,7.0,0.7847500935697507,1.0,372.0,0.8599423748296516,1.0,2,2,1,6,1,1
334,sm28185620,243.0,0.5333520070071339,1.0,35.0,0.5869059289330371,1.0,88.0,0.6395376280468521,1.0,0,4,3,3,0,1
335,sm30722500,398.0,0.8250019261506885,1.0,402.0,0.9078463846954188,1.0,18.0,0.9935982652582872,1.0,2,1,3,6,0,1
336,sm32392150,259.0,0.7861774200163619,1.0,222.0,0.7983473817511699,1.0,1.0,0.8698485857480585,1.0,0,4,2,4,0,1
337,sm28916290,261.0,0.755122500941142,1.0,479.0,0.7788416700175759,1.0,22.0,0.8375489492931607,1.0,0,6,0,3,1,1
338,sm22230060,15.0,0.5659172280887211,1.0,106.0,0.6757644935099859,1.0,31.0,0.8715805358873845,1.0,1,3,5,1,1,1
